id,title,year,source,material_system,method,characterization,result_summary,keywords,data_source
L012,Curated example: Liposome encapsulation for drug delivery,2022.0,教学示例(非真实PDF),磷脂酰胆碱/胆固醇脂质体,薄膜水化法制备脂质体，挤出法控制粒径，透析法去除游离药物,DLS测量粒径和PDI; 荧光光谱测定包封率; TEM观察形态,脂质体平均粒径约120nm，PDI<0.2，包封率约65%。胆固醇含量20mol%时膜稳定性最佳。体外释放24小时累计释放约40%，表现出缓释特征。,"脂质体,药物递送,包封率,胆固醇,缓释",curated_example
L013,Curated example: Colloidal gel aging and yielding,2021.0,教学示例(非真实PDF),胶体二氧化硅粒子分散液,调节离子强度诱导胶体粒子形成凝胶网络,流变仪测量屈服应力和蠕变; 光散射测量微观结构演化,胶体凝胶在老化过程中屈服应力逐渐增大(与时间呈对数关系)。分形维数约2.1，表明反应限制聚集。蠕变测试表明凝胶在小应力下长时间后会发生突然断裂(延迟弹性失效)。,"胶体凝胶,老化,屈服应力,分形,蠕变",curated_example
L014,Curated example: Electrospun PVA nanofiber membrane for water treatment,2023.0,教学示例(非真实PDF),聚乙烯醇(PVA)/壳聚糖(CS)复合纳米纤维,静电纺丝法制备PVA/CS纳米纤维膜，PVA/CS质量比9:1至7:3,SEM测量纤维直径; 接触角测量; 过滤效率测试,PVA/CS纳米纤维平均直径约200nm。加入壳聚糖后接触角从40°降至25°，亲水性增强。对亚甲基蓝的吸附量达180mg/g。水通量约500L/(m2·h)，对0.5μm PS微球截留率>95%。,"静电纺丝,PVA,壳聚糖,纳米纤维,水处理",curated_example
L015,Curated example: Self-healing polyurethane elastomer,2022.0,教学示例(非真实PDF),含UPy氢键的聚氨酯弹性体,预聚体法合成含UPy侧基的聚氨酯，浇铸成型,万能试验机拉伸测试; 流变仪测量自修复效率; FTIR确认氢键,UPy-PU弹性体拉伸强度约15MPa，断裂伸长率约600%。切开后在60°C热处理2小时可恢复约85%的力学性能。自修复效率随UPy含量增加而增大。多次切割-修复循环后性能衰减<10%。,"自修复,聚氨酯,UPy氢键,弹性体",curated_example
L016,Curated example: Double network hydrogel as cartilage substitute,2020.0,教学示例(非真实PDF),聚2-丙烯酰胺-2-甲基丙磺酸(PAMPS)/聚丙烯酰胺(PAAm)双网络凝胶,两步光引发聚合制备DN凝胶,压缩和摩擦测试; 生物相容性测试; SEM,PAMPS/PAAm DN凝胶压缩强度约60MPa，含水率>70%，摩擦系数约0.01(与关节软骨相当)。在模拟体液中30天性能稳定。细胞毒性测试表明良好的生物相容性。,"双网络凝胶,人工软骨,摩擦系数,生物相容性",curated_example
L017,Curated example: Magnetic responsive elastomer for soft actuator,2023.0,教学示例(非真实PDF),铁氧体纳米粒子/PDMS磁响应弹性体,混合磁性纳米粒子于PDMS预聚体中，磁场下固化形成各向异性结构,VSM测量磁性能; 数字图像相关(DIC)测量变形; 流变测量,含30vol% Fe3O4的PDMS弹性体在200mT磁场下可在1秒内产生约30%的弯曲变形。磁场撤除后形状恢复。循环测试100次后变形量衰减<5%。可用于软体机器人和智能阀门。,"磁响应弹性体,PDMS,Fe3O4,软体机器人",curated_example
L018,Curated example: Nanocellulose reinforced starch biocomposite,2021.0,教学示例(非真实PDF),纤维素纳米纤丝(CNF)/热塑性淀粉(TPS)复合材料,溶液浇铸法制备CNF/TPS复合膜，甘油作为增塑剂,万能试验机拉伸测试; TGA热重分析; DMA动态力学分析,添加5wt% CNF使TPS拉伸强度从5MPa提高到18MPa，杨氏模量提高3倍。CNF与淀粉之间形成氢键网络，限制了淀粉链的运动。TGA显示热分解温度提高约15°C。,"纳米纤维素,淀粉,生物复合材料,力学增强",curated_example
L019,Curated example: Photonic crystal hydrogel sensor for pH detection,2022.0,教学示例(非真实PDF),聚丙烯酸(PAA)/SiO2光子晶体水凝胶,将SiO2胶体晶体模板嵌入PAA水凝胶中，去除模板得到反蛋白石结构,UV-Vis反射光谱; 光学显微镜; 原位pH响应测试,PAA反蛋白石光子晶体凝胶在pH 4-8范围内反射峰位移约100nm，对应颜色从蓝色变为红色。响应时间约5分钟。凝胶可逆循环10次后反射峰位置偏差<5nm。可用于pH快速检测。,"光子晶体,水凝胶,pH传感,反蛋白石,PAA",curated_example
L020,Curated example: Polymer brush-modified surface for anti-fouling,2021.0,教学示例(非真实PDF),聚乙二醇甲基丙烯酸酯(PEGMA)聚合物刷,SI-ATRP法在硅片表面接枝PEGMA聚合物刷,椭偏仪测量膜厚; 接触角; XPS确认表面化学; 蛋白吸附实验,PEGMA聚合物刷厚度约30nm，水接触角约35°。蛋白质(牛血清白蛋白)吸附量比未修饰表面减少约95%。聚合物刷密度约0.5链/nm2时抗蛋白吸附效果最佳。,"聚合物刷,PEGMA,抗蛋白吸附,SI-ATRP",curated_example
L021,Curated example: Shape memory polymer for deployable structures,2023.0,教学示例(非真实PDF),环氧树脂基形状记忆高分子,浇铸固化法制备环氧树脂试样，编程形状记忆循环,DSC测定Tg; DMA测量形状固定率和恢复率; 视频记录形状恢复,环氧树脂Tg约120°C，形状固定率>98%，形状恢复率>95%。可编程多个临时形状(两段式恢复)。循环10次后形状恢复率衰减<2%。适合航天可展开结构。,"形状记忆,环氧树脂,形状固定率,形状恢复率",curated_example
L022,Curated example: Supramolecular hydrogel based on host-guest interaction,2022.0,教学示例(非真实PDF),β-环糊精(β-CD)/金刚烷(Ad)超分子水凝胶,将β-CD改性透明质酸和Ad改性透明质酸混合，形成超分子交联凝胶,流变仪测量粘弹性; 倒置法测定凝胶-溶胶转变; 荧光光谱,β-CD/Ad超分子水凝胶G'约1000Pa，可注射性良好(注射后G'恢复>90%)。添加竞争客体分子可实现凝胶-溶胶转变。37°C下凝胶缓慢降解(约7天)。可用于细胞包封和药物缓释。,"超分子水凝胶,环糊精,金刚烷,可注射",curated_example
L023,Curated example: Janus particle synthesis and interfacial activity,2020.0,教学示例(非真实PDF),PS/SiO2 Janus粒子,Pickering乳液保护的半面功能化法: PS微球一侧沉积SiO2纳米粒子,TEM和SEM观察形貌; 接触角测量; 界面张力测量,制备的Janus粒子尺寸约500nm，一侧为PS(疏水)另一侧为SiO2(亲水)。界面活性是均质粒子的约10倍(更低的界面张力)。可稳定O/W和W/O乳液，取决于添加到哪一相。,"Janus粒子,PS/SiO2,界面活性,半面功能化",curated_example
L024,Curated example: Layer-by-layer assembly for corrosion protection,2021.0,教学示例(非真实PDF),聚乙烯亚胺(PEI)/聚丙烯酸(PAA)多层膜,交替浸涂法在铝合金基底上沉积PEI/PAA多层膜(10-50个双层),EIS电化学阻抗谱; 盐雾测试; 椭偏仪测膜厚,20个双层的PEI/PAA多层膜使铝合金的腐蚀电流密度降低约3个数量级。盐雾试验48小时后划痕处腐蚀扩展<2mm。多层膜厚度约500nm，在pH 3-11范围内稳定。,"LbL,防腐,PEI,PAA,多层膜",curated_example
L025,Curated example: Microfluidic preparation of double emulsion for encapsulation,2023.0,教学示例(非真实PDF),氟化油/水/油(W/O/W)双重乳液,同轴毛细管微流控装置制备双重乳液液滴,光学显微镜观察液滴结构; 荧光成像; DLS测内液滴尺寸,微流控制备的W/O/W双重乳液CV<5%，外液滴直径约100μm，内液滴数可控(1-5个)。在液滴内进行模型反应(酶催化)，转化率>90%。双重乳液稳定时间>7天。,"微流控,双重乳液,毛细管,微反应器",curated_example
L026,Test Paper,2024,Journal,,,,,,csv:tmppl9bdz4g.csv
L027,title,year,source,,,,,,txt:tmpnlmfhx4h.txt
