id,title,category,content,source,keywords
K034,纳米粒子的表面改性,纳米材料,纳米粒子的表面改性改变其在不同介质中的分散性和相容性。方法包括: 配体交换(用新配体替换原有配体)、聚合物接枝(grafting-to和grafting-from)、表面硅烷化、层层自组装(LbL)。改性后的纳米粒子可用于复合材料、催化和生物医学。,课程讲义,"纳米粒子,表面改性,配体交换,聚合物接枝,硅烷化"
K035,两亲性嵌段共聚物胶束,自组装,两亲性嵌段共聚物在选择性溶剂中自组装形成胶束。疏水嵌段形成核，亲水嵌段形成壳。临界胶束浓度(CMC)远低于小分子表面活性剂。胶束形态可通过改变嵌段比、溶剂条件和温度调控: 球形、蠕虫状、囊泡等。用于药物递送和纳米材料模板。,课程讲义,"嵌段共聚物胶束,CMC,自组装,药物递送,纳米模板"
K036,胶体晶体,胶体科学,胶体晶体是单分散胶体粒子自发排列形成的三维有序结构，类似原子晶体但周期在光学波长尺度(100-1000nm)。由于布拉格衍射可呈现结构色(不使用染料的颜色)。制备方法包括重力沉降、蒸发诱导自组装和旋涂。用于光子晶体和传感器。,课程讲义,"胶体晶体,结构色,布拉格衍射,光子晶体,单分散"
K037,高分子共混物的相容性,高分子科学,大多数高分子对在热力学上不相容(χ>0)，会发生宏观相分离。提高相容性的方法: 加入嵌段或接枝共聚物作为相容剂、在界面处形成共价键(反应增容)、加入纳米粒子。共混物的形态(海岛结构、双连续等)取决于组成比、粘度比和加工条件。,课程讲义,"高分子共混,相容性,相分离,相容剂,反应增容"
K038,生物降解高分子,高分子科学,生物降解高分子可在微生物或酶作用下分解为小分子。常见的有: 聚乳酸(PLA，可水解降解)、聚己内酯(PCL)、聚羟基丁酸酯(PHB)、聚丁二酸丁二醇酯(PBS)。降解速率受结晶度、分子量、亲水性和环境条件影响。在包装、医疗和环保领域有重要应用。,课程讲义,"生物降解,PLA,PCL,PHB,水解降解"
K039,界面聚合,高分子科学,界面聚合是在两种不相溶液体界面上进行的聚合反应。经典例子是尼龙66的界面合成: 己二胺溶于水相，己二酰氯溶于有机相，在界面处快速缩聚形成薄膜。界面聚合法用于制备纳滤膜、微胶囊和中空纤维。反应速率极快，受扩散控制。,课程讲义,"界面聚合,纳滤膜,微胶囊,尼龙,扩散控制"
K040,DNA折纸术,生物软物质,DNA折纸术利用DNA碱基互补配对原理，将长链DNA折叠成预设的纳米结构。通过设计数百条短链DNA(staples)将长链(M13噬菌体基因组)精确折叠。可制备2D和3D纳米结构，分辨率约6nm。在纳米器件、药物递送和生物传感中有应用前景。,课程讲义,"DNA折纸,碱基配对,纳米结构,staples,M13"
K041,反蛋白石结构,纳米材料,反蛋白石是利用胶体晶体模板制备的三维有序多孔结构。先组装胶体晶体模板(如PS微球)，然后用前驱体填充间隙，最后去除模板得到反相结构。常用前驱体包括SiO2溶胶、金属氧化物和高分子。反蛋白石具有结构色和光子带隙特性。,课程讲义,"反蛋白石,胶体晶体模板,光子带隙,结构色,多孔结构"
K042,微流控技术制备乳液,乳液,微流控技术可精确控制液滴生成，制备高度单分散的乳液。基于流聚焦和液滴破裂原理，可控制液滴尺寸(10-500μm)和多级结构(如双重乳液、Janus液滴)。相比传统乳化方法，微流控乳液的CV值可低至2%。用于药物递送、微反应器和数字PCR。,课程讲义,"微流控,单分散乳液,流聚焦,双重乳液,Janus液滴"
K043,形状记忆高分子,智能材料,形状记忆高分子可在外部刺激(通常是温度)下从临时形状恢复到永久形状。机制: 永久形状由化学或物理交联网络固定，临时形状由可逆相(如结晶区或Tg转变)锁定。加热到转变温度以上后，熵弹性驱动形状恢复。典型体系包括PU、环氧树脂和PLA基形状记忆高分子。,课程讲义,"形状记忆,高分子,可逆相,熵弹性,形状恢复"
K044,高分子纳米复合材料,纳米材料,高分子纳米复合材料是将纳米填料(CNT、石墨烯、纳米粘土、纳米SiO2等)分散在高分子基体中。即使极低添加量(<5 wt%)也能显著改善力学、热学、阻隔和电学性能。关键是填料的分散性和界面相互作用。剥离型纳米粘土可使气体阻隔性提高一个数量级。,课程讲义,"纳米复合材料,碳纳米管,石墨烯,纳米粘土,分散性"
K045,软物质的标度律,基本概念,标度律是软物质物理学的核心概念，揭示了物理量之间的幂律关系。例如: 高分子均方末端距 R^2 ~ N^(2ν)，胶体粒子扩散系数 D ~ R^(-1)，蠕虫状胶束零剪切粘度 η0 ~ c^(3.7)。标度分析忽略预因子，只关注指数关系，为理解软物质行为提供了简洁的理论框架。,课程讲义,"标度律,幂律,标度分析,高分子,胶体"
K046,界面活性聚合物,高分子科学,界面活性聚合物是在链中同时含有亲水和疏水段的聚合物，类似小分子表面活性剂。可在油水界面自组装，降低界面张力。用于高分子共混物的增容、乳液稳定和涂层。疏水改性乙基羟乙基纤维素(HM-EHEC)是典型例子。,课程讲义,"界面活性聚合物,增容,乳液稳定,疏水改性"
K047,超分子聚合物,自组装,超分子聚合物通过非共价相互作用(氢键、金属配位、主客体作用、π-π堆积等)将单体连接成聚合物链。具有自修复、可回收、刺激响应等优点。UPy(脲基嘧啶酮)四重氢键是最常用的超分子聚合物构建基元，结合常数高达10^7 M^-1。,课程讲义,"超分子聚合物,非共价键,自修复,UPy,氢键"
K048,Janus粒子,纳米材料,Janus粒子是表面具有两种不同化学性质区域的粒子，类似于古罗马双面神Janus。例如一亲水一疏水、一正一负电荷、一荧光一暗等。Janus粒子具有独特的界面活性和自组装行为，可用于Pickering乳液稳定、表面活性剂替代和纳米马达。,课程讲义,"Janus粒子,双面性,界面活性,Pickering乳液"
K049,胶体凝胶,胶体科学,胶体凝胶是胶体粒子在吸引力作用下形成的贯穿网络结构，可以支撑自身重量。粒子浓度高于凝胶点时，粒子间的短程吸引力导致分形聚集体的形成。胶体凝胶具有屈服应力和时间依赖性(老化)行为。常见例子包括硅胶、粘土悬浮液和蛋白质聚集体凝胶。,课程讲义,"胶体凝胶,凝胶点,分形聚集体,屈服应力,老化"
K050,高分子共混物的流变学,流变学,高分子共混物的流变行为受各组分的粘弹性、组成比和形态影响。低频区域可观察到第二个松弛平台(由分散相液滴形变和松弛贡献)。Palierne模型可预测乳液型共混物的线性粘弹性。共混物的稳态粘度通常低于加权平均值(协同效应)或出现正偏差(相容性差)。,课程讲义,"共混物流变,Palierne模型,松弛,协同效应"
K051,静电纺丝,制备方法,静电纺丝利用高压电场将高分子溶液或熔体拉伸形成纳米纤维。纤维直径范围从几十nm到几μm，受溶液浓度、电压、流速和接收距离影响。可制备功能化纳米纤维膜，用于过滤、伤口敷料和组织工程支架。加入纳米粒子可赋予导电、抗菌等功能。,课程讲义,"静电纺丝,纳米纤维,高压电场,纤维膜"
K052,层层自组装(LbL),制备方法,层层自组装通过交替沉积带相反电荷的物质(聚电解质、纳米粒子、蛋白质等)在基底上构建多层膜。每层厚度可精确控制(1-100nm)。驱动力包括静电作用、氢键、配位键等。用于制备功能涂层、药物缓释膜和传感器。,课程讲义,"LbL,层层自组装,聚电解质,多层膜,功能涂层"
K053,软物质的安全考量,实验安全,软物质实验中常见的安全隐患: 有机溶剂(甲苯、氯仿等)的毒性和易燃性; 强酸强碱(浓硫酸、氢氟酸等)的腐蚀性; 纳米材料的潜在吸入风险; 高压静电设备的安全; 液氮的低温冻伤。必须在通风橱中操作有机溶剂，佩戴防护装备，了解MSDS。,课程讲义,"实验安全,有机溶剂,强酸强碱,纳米材料,MSDS"
K054,光散射技术,表征方法,光散射技术包括静态光散射(SLS)和动态光散射(DLS)。SLS测量散射光的平均强度，可获得粒子的重均分子量Mw和回转半径Rg。DLS测量散射光强度的时间涨落，可获得扩散系数和粒径。Zimm图是SLS数据分析的经典方法。两者都适用于1nm-1μm尺寸范围。,课程讲义,"光散射,SLS,DLS,Zimm图,分子量,粒径"
K055,原子力显微镜(AFM),表征方法,AFM利用微悬臂末端的尖锐探针扫描样品表面，通过针尖-样品间的相互作用力获得表面形貌。分辨率可达亚nm级。除形貌外，还可测量力曲线(粘附力、弹性模量)和导电性。软物质样品常使用轻敲模式以减少损伤。峰值力定量纳米力学模式可同时获得模量和形貌。,课程讲义,"AFM,原子力显微镜,力曲线,峰值力,形貌"
K056,高分子的结晶行为,高分子科学,半结晶高分子(如PE、PP、PET)同时包含结晶区和非晶区。结晶度影响材料的力学、热学和阻隔性能。结晶过程包括成核和生长两个阶段。Avrami方程描述等温结晶动力学。球晶是最常见的结晶形态，尺寸可达数十微米，可用偏光显微镜观察。,课程讲义,"高分子结晶,结晶度,Avrami方程,球晶,偏光显微镜"
K057,微乳液,乳液,微乳液是热力学稳定的透明或半透明分散体系，液滴尺寸10-100nm。与普通乳液不同，微乳液可自发形成且长期稳定。需要在最优配方下形成(通常需要助表面活性剂如醇类)。微乳液在三次采油、药物递送和纳米粒子合成中有重要应用。,课程讲义,"微乳液,热力学稳定,助表面活性剂,三次采油,纳米粒子合成"
K058,仿生矿化,生物软物质,生物矿化是生物体在有机基质(蛋白质、多糖等)调控下形成无机矿物(如骨骼中的羟基磷灰石、贝壳中的碳酸钙)的过程。有机基质提供成核位点和生长限域。仿生矿化利用有机模板(如高分子、脂质体)在温和条件下合成具有特殊形貌的无机材料。,课程讲义,"生物矿化,羟基磷灰石,有机模板,仿生合成"
K059,软物质实验的统计方法,数据分析,软物质实验中常用的统计方法: t检验(比较两组均值)、方差分析ANOVA(比较多组均值)、线性回归(拟合线性关系)、非线性最小二乘拟合(拟合指数、幂律等)。每次实验至少重复3次，报告均值和标准偏差。流变数据拟合时需注意参数物理意义的合理性。,课程讲义,"统计方法,t检验,ANOVA,回归分析,标准偏差"
K060,柔性链的蠕虫状链模型,高分子科学,蠕虫状链模型(Kratky-Porod模型)描述半柔性链的构象，通过持续长度lp衡量链的柔性。lp远小于链长L时为柔性链(高斯链行为)，lp与L相当为半柔性链，lp远大于L为刚性棒。该模型适用于DNA、肌动蛋白丝和高分子主链的描述。,课程讲义,"蠕虫状链,持续长度,Kratky-Porod,半柔性链,DNA"
